alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,60,2,5,16,1000,2,2,500,100,5,0.7023745183042457,0.27,0.11,0.3,0.26,0.28,0.29,0.25,0.05,0.1,0.08,0.12,0.07
1,1,60,2,5,18,1000,2,2,500,100,5,4.0902886992887755,0.12,0.11,0.2,0.16,0.15,0.1,0.12,0.06,0.1,0.1,0.02,0.04
1,1,60,2,5,18,1000,2,2,500,100,5,2.8144770058457427,0.48,0.07,0.54,0.6,0.51,0.54,0.51,0.04,0.05,0.04,0.03,0.04
1,1,60,2,5,20,1000,2,2,500,100,5,0.48207810959439024,0.1,0.05,0.14,0.21,0.17,0.15,0.1,0.04,0.02,0.05,0.02,0.02
1,1,60,2,5,20,1000,2,2,500,100,5,14.373792046190179,0.03,0.04,0.06,0.07,0.01,0.07,0.06,0.04,0.08,0.05,0.08,0.03
1,1,60,2,5,22,1000,2,2,500,100,5,18.366994195624653,0.02,0.05,0.09,0.08,0.1,0.09,0.08,0.05,0.04,0.03,0.01,0.01
1,1,60,2,5,22,1000,2,2,500,100,5,3.136484848713867,0.12,0.05,0.11,0.09,0.1,0.07,0.1,0.07,0.06,0.03,0.04,0.06
1,1,60,2,5,24,1000,2,2,500,100,5,9.642898089784822,0.05,0.04,0.05,0.06,0.07,0.11,0.08,0.03,0.03,0.08,0.02,0.04
1,1,60,2,5,24,1000,2,2,500,100,5,12.756196005262115,0.09,0.07,0.04,0.06,0.05,0.08,0.04,0.02,0.03,0.07,0.01,0.05
1,1,60,2,5,26,1000,2,2,500,100,5,1.4350967806033115,0.44,0.08,0.44,0.42,0.43,0.41,0.48,0.03,0.04,0.06,0.07,0.04
1,1,60,2,5,26,1000,2,2,500,100,5,8.67674645434311,0.09,0.07,0.07,0.05,0.04,0.05,0.03,0.02,0.03,0.03,0.03,0.02
1,1,80,2,5,2,1000,2,2,500,100,5,28.97466572107602,0.56,0.54,0.5,0.52,0.45,0.58,0.52,0.52,0.55,0.48,0.54,0.56
1,1,80,2,5,2,1000,2,2,500,100,5,11.124327400359274,0.73,0.63,0.62,0.75,0.69,0.65,0.68,0.56,0.73,0.49,0.66,0.54
1,1,80,2,5,4,1000,2,2,500,100,5,10.543265214256397,0.43,0.22,0.37,0.44,0.4,0.39,0.47,0.25,0.18,0.17,0.25,0.23
1,1,80,2,5,4,1000,2,2,500,100,5,6.729170017305027,0.72,0.56,0.72,0.84,0.75,0.63,0.58,0.57,0.64,0.66,0.58,0.57
1,1,80,2,5,6,1000,2,2,500,100,5,24.11554453374707,0.84,0.77,0.81,0.79,0.79,0.81,0.78,0.73,0.58,0.68,0.69,0.69
1,1,80,2,5,6,1000,2,2,500,100,5,14.677930762371048,0.31,0.17,0.33,0.23,0.36,0.3,0.28,0.21,0.23,0.27,0.17,0.16
1,1,80,2,5,8,1000,2,2,500,100,5,11.15597629267674,0.56,0.13,0.57,0.57,0.56,0.55,0.59,0.14,0.09,0.13,0.11,0.13
1,1,80,2,5,8,1000,2,2,500,100,5,10.138312147324495,0.56,0.14,0.54,0.58,0.53,0.51,0.66,0.17,0.2,0.13,0.2,0.2
1,1,80,2,5,10,1000,2,2,500,100,5,5.319626476028204,0.19,0.11,0.27,0.27,0.21,0.26,0.26,0.15,0.13,0.08,0.15,0.18
1,1,80,2,5,10,1000,2,2,500,100,5,1.1541863169844204,0.36,0.08,0.3,0.3,0.33,0.4,0.38,0.08,0.09,0.08,0.13,0.07
1,1,80,2,5,12,1000,2,2,500,100,5,18.628334129100086,0.07,0.08,0.18,0.13,0.11,0.1,0.07,0.1,0.06,0.11,0.05,0.11
1,1,80,2,5,12,1000,2,2,500,100,5,9.837979788615325,0.47,0.05,0.43,0.51,0.38,0.46,0.43,0.09,0.1,0.04,0.1,0.07
1,1,80,2,5,14,1000,2,2,500,100,5,3.9810647072489336,0.15,0.07,0.21,0.19,0.25,0.22,0.18,0.03,0.04,0.05,0.04,0.07
1,1,80,2,5,14,1000,2,2,500,100,5,18.4259655618037,0.43,0.05,0.56,0.57,0.43,0.54,0.41,0.08,0.08,0.06,0.09,0.07
1,1,80,2,5,16,1000,2,2,500,100,5,5.635659555618534,0.24,0.04,0.29,0.33,0.25,0.34,0.24,0.07,0.05,0.03,0.05,0.06
1,1,80,2,5,16,1000,2,2,500,100,5,1.467265458018732,0.16,0.05,0.12,0.06,0.09,0.1,0.1,0.03,0.06,0.07,0.05,0.05
1,1,80,2,5,18,1000,2,2,500,100,5,24.293887858271944,0.07,0.04,0.06,0.1,0.16,0.08,0.09,0.12,0.05,0.09,0.08,0.08
1,1,80,2,5,18,1000,2,2,500,100,5,7.131169969746903,0.42,0.05,0.38,0.46,0.41,0.42,0.47,0.06,0.03,0.06,0.03,0.02
1,1,80,2,5,20,1000,2,2,500,100,5,27.200436859664702,0.63,0.03,0.64,0.67,0.61,0.58,0.63,0.05,0.05,0.04,0.03,0.04
1,1,80,2,5,20,1000,2,2,500,100,5,5.608485744280389,0.61,0.06,0.52,0.51,0.47,0.56,0.68,0.01,0.02,0.04,0.08,0.07
1,1,80,2,5,22,1000,2,2,500,100,5,19.75740129425937,0.57,0.06,0.55,0.55,0.6,0.51,0.58,0.05,0.07,0.03,0.05,0.03
