mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,60,2,5,14,1000,2,2,500,100,5,4.874947577117509,0.52,0.26,0.69,0.59,0.62,0.66,0.58,0.32,0.28,0.37,0.32,0.33
0,5,2,4,60,2,5,16,1000,2,2,500,100,5,0.03148838726766262,0.69,0.62,0.69,0.65,0.68,0.72,0.68,0.55,0.57,0.6,0.62,0.4
0,5,2,4,60,2,5,18,1000,2,2,500,100,5,24.372146500435118,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.93,0.87,0.97,0.99,0.99
0,5,2,4,60,2,5,20,1000,2,2,500,100,5,13.30068411553012,0.1,0.06,0.13,0.11,0.09,0.12,0.17,0.06,0.05,0.04,0.04,0.04
0,5,2,4,60,2,5,20,1000,2,2,500,100,5,11.887457978231842,1.0,0.93,0.98,1.0,0.99,0.98,1.0,0.91,0.89,0.91,0.9,0.91
0,5,2,4,60,2,5,24,1000,2,2,500,100,5,1.3320082640498696,0.19,0.1,0.15,0.13,0.15,0.12,0.18,0.06,0.03,0.07,0.04,0.08
0,5,2,4,80,2,5,2,1000,2,2,500,100,5,20.50579471346607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,5,2,4,80,2,5,2,1000,2,2,500,100,5,9.826363080642569,0.75,0.7,0.64,0.76,0.78,0.72,0.74,0.66,0.68,0.69,0.63,0.71
0,5,2,4,80,2,5,4,1000,2,2,500,100,5,12.43005110580575,0.72,0.67,0.72,0.66,0.69,0.65,0.65,0.59,0.68,0.57,0.65,0.55
0,5,2,4,80,2,5,6,1000,2,2,500,100,5,2.0616429174753677,0.53,0.26,0.61,0.63,0.5,0.46,0.57,0.41,0.34,0.42,0.35,0.48
0,5,2,4,80,2,5,8,1000,2,2,500,100,5,12.94160855562637,0.4,0.2,0.36,0.49,0.38,0.38,0.38,0.19,0.12,0.18,0.15,0.17
0,5,2,4,80,2,5,10,1000,2,2,500,100,5,7.276852995040884,0.45,0.19,0.33,0.37,0.32,0.35,0.34,0.19,0.21,0.18,0.2,0.21
